#framenumber time energy filename iter
3161 1.5805 0 worm_003161.vtu 0
3171 1.5855 0 worm_003171.vtu 0
3181 1.5905 0 worm_003181.vtu 0
3191 1.5955 0 worm_003191.vtu 0
3201 1.6005 0 worm_003201.vtu 0
3211 1.6055 0 worm_003211.vtu 0
3221 1.6105 0 worm_003221.vtu 0
3231 1.6155 0 worm_003231.vtu 0
3241 1.6205 0 worm_003241.vtu 0
3251 1.6255 0 worm_003251.vtu 0
3261 1.6305 0 worm_003261.vtu 0
3271 1.6355 0 worm_003271.vtu 0
3281 1.6405 0 worm_003281.vtu 0
3291 1.6455 0 worm_003291.vtu 0
3301 1.6505 0 worm_003301.vtu 0
3311 1.6555 0 worm_003311.vtu 0
3321 1.6605 0 worm_003321.vtu 0
3331 1.6655 0 worm_003331.vtu 0
3341 1.6705 0 worm_003341.vtu 0
3351 1.6755 0 worm_003351.vtu 0
3361 1.6805 0 worm_003361.vtu 0
3371 1.6855 0 worm_003371.vtu 0
3381 1.6905 0 worm_003381.vtu 0
3391 1.6955 0 worm_003391.vtu 0
3401 1.7005 0 worm_003401.vtu 0
3411 1.7055 0 worm_003411.vtu 0
3421 1.7105 0 worm_003421.vtu 0
3431 1.7155 0 worm_003431.vtu 0
3441 1.7205 0 worm_003441.vtu 0
3451 1.7255 0 worm_003451.vtu 0
3461 1.7305 0 worm_003461.vtu 0
3471 1.7355 0 worm_003471.vtu 0
3481 1.7405 0 worm_003481.vtu 0
3491 1.7455 0 worm_003491.vtu 0
3501 1.7505 0 worm_003501.vtu 0
3511 1.7555 0 worm_003511.vtu 0
3521 1.7605 0 worm_003521.vtu 0
3531 1.7655 0 worm_003531.vtu 0
3541 1.7705 0 worm_003541.vtu 0
3551 1.7755 0 worm_003551.vtu 0
3561 1.7805 0 worm_003561.vtu 0
3571 1.7855 0 worm_003571.vtu 0
3581 1.7905 0 worm_003581.vtu 0
3591 1.7955 0 worm_003591.vtu 0
3601 1.8005 0 worm_003601.vtu 0
3611 1.8055 0 worm_003611.vtu 0
3621 1.8105 0 worm_003621.vtu 0
3631 1.8155 0 worm_003631.vtu 0
3641 1.8205 0 worm_003641.vtu 0
3651 1.8255 0 worm_003651.vtu 0
3661 1.8305 0 worm_003661.vtu 0
3671 1.8355 0 worm_003671.vtu 0
3681 1.8405 0 worm_003681.vtu 0
